type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data
24;0000B827EB24A52C;20;8;-69;50;5;SF9BW125;2025-07-07 00:15:10;{"RSSI": -69, "SNR": 8, "TC": 27.0}
24;0000B827EB24A52C;20;7;-69;50;5;SF9BW125;2025-07-07 00:15:26;{"RSSI": -69, "SNR": 7, "TC": 22.17}
24;0000B827EB24A52C;20;8;-69;50;5;SF9BW125;2025-07-07 00:15:42;{"RSSI": -69, "SNR": 8, "TC": 25.79}
24;0000B827EB24A52C;20;8;-69;50;5;SF9BW125;2025-07-07 00:15:58;{"RSSI": -69, "SNR": 8, "TC": 23.8}
24;0000B827EB24A52C;20;7;-68;50;5;SF9BW125;2025-07-07 00:16:14;{"RSSI": -68, "SNR": 7, "TC": 26.95}
24;0000B827EB24A52C;20;6;-69;50;5;SF9BW125;2025-07-07 00:16:30;{"RSSI": -69, "SNR": 6, "TC": 25.44}
24;0000B827EB24A52C;20;6;-69;50;5;SF9BW125;2025-07-07 00:16:45;{"RSSI": -69, "SNR": 6, "TC": 28.04}
24;0000B827EB24A52C;20;6;-69;50;5;SF9BW125;2025-07-07 00:17:01;{"RSSI": -69, "SNR": 6, "TC": 20.44}
24;0000B827EB24A52C;20;6;-69;50;5;SF9BW125;2025-07-07 00:17:17;{"RSSI": -69, "SNR": 6, "TC": 26.82}
24;0000B827EB24A52C;20;8;-70;50;5;SF9BW125;2025-07-07 00:17:33;{"RSSI": -70, "SNR": 8, "TC": 27.72}
24;0000B827EB24A52C;20;8;-69;50;5;SF9BW125;2025-07-07 00:17:49;{"RSSI": -69, "SNR": 8, "TC": 24.45}
24;0000B827EB24A52C;20;8;-69;50;5;SF9BW125;2025-07-07 00:18:05;{"RSSI": -69, "SNR": 8, "TC": 25.3}
24;0000B827EB24A52C;20;8;-69;50;5;SF9BW125;2025-07-07 00:18:21;{"RSSI": -69, "SNR": 8, "TC": 28.44}
24;0000B827EB24A52C;20;8;-70;50;5;SF9BW125;2025-07-07 00:18:37;{"RSSI": -70, "SNR": 8, "TC": 28.02}
24;0000B827EB24A52C;20;8;-71;50;5;SF9BW125;2025-07-07 00:18:53;{"RSSI": -71, "SNR": 8, "TC": 28.56}
24;0000B827EB24A52C;20;8;-71;50;5;SF9BW125;2025-07-07 00:19:09;{"RSSI": -71, "SNR": 8, "TC": 27.03}
24;0000B827EB24A52C;20;6;-69;50;5;SF9BW125;2025-07-07 00:19:25;{"RSSI": -69, "SNR": 6, "TC": 22.69}
24;0000B827EB24A52C;20;6;-69;50;5;SF9BW125;2025-07-07 00:19:41;{"RSSI": -69, "SNR": 6, "TC": 20.98}
24;0000B827EB24A52C;20;6;-70;50;5;SF9BW125;2025-07-07 00:19:57;{"RSSI": -70, "SNR": 6, "TC": 20.76}
24;0000B827EB24A52C;20;7;-69;50;5;SF9BW125;2025-07-07 00:20:13;{"RSSI": -69, "SNR": 7, "TC": 28.47}
24;0000B827EB24A52C;20;7;-68;50;5;SF9BW125;2025-07-07 00:20:29;{"RSSI": -68, "SNR": 7, "TC": 24.78}
24;0000B827EB24A52C;20;6;-69;50;5;SF9BW125;2025-07-07 00:20:45;{"RSSI": -69, "SNR": 6, "TC": 26.39}
